Shipment ID	FBA16NB1DV0T
Name	FBA (4/5/22, 9:47 AM) - 1
Plan ID	PLN4CB1S1N
Ship To	CMH2
Total SKUs	4
Total Units	28
shipment-total-cases	28

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Units per case	Number of cases	Shipped
ACER-MON-CB272-BMIPRX	Acer CB272 bmiprx 27" Full HD (1920 x 1080) IPS Zero Frame Professional Home Office Monitor with AMD Radeon Free Sync, Height Adjustable Stand with Tilt & Pivot | Display, HDMI & VGA ports, Speakers	B07WMTLW2R	X0037HGC2T	UPC: 193199466020	New	No prep required	"--"	Merchant	1	8	8
ACER-MON-K242HYL-HBI	Acer K242HYL Hbi 23.8” Full HD (1920 x 1080) Monitor with AMD Radeon FreeSync Technology, 75Hz, 1ms (VRB) (HDMI Port 1.4 & VGA Port) Black	B08R6BBGMS	X0037HPAUJ	UPC: 195133077996	New	No prep required	"--"	Merchant	1	4	4
ACER-MON-NITRO-ED271U-XBMIIPX	Acer Nitro ED271U Xbmiipx 27" 1000R Curved VA WQHD 2560 x 1440 Gaming Monitor | AMD FreeSync Premium | Up to 240Hz | Up to 0.5ms | DisplayHDR400 | 95% sRGB | 1 x Display Port & 2 x HDMI 2.0 Ports	B09MZPTVN3	X0037HP92N	UPC: 195133057677	New	No prep required	"--"	Merchant	1	3	3
ACER-MON-T232HL-ABMJJZ	Acer T232HL Abmjjz 23-Inch (1920 x 1080) Touchscreen Widescreen Monitor,Black	B00I2P6TEG	X0037I0LJN	UPC: 808112923589	New	No prep required	"--"	Merchant	1	13	13
