Shipment ID	FBA16RZF04W7
Name	FBA STA (07/05/2022 16:36)-PHX5
Plan ID	
Ship To	PHX5
Total SKUs	6
Total Units	157

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
ASUS-MON-EYECARE-VP32UQ	ASUS 31.5” 4K HDR Monitor (VP32UQ) - UHD (3840 x 2160), IPS, 100% sRGB, HDR10, Speakers, Adaptive-Sync/FreeSync, Low Blue Light, Eye Care, VESA Mountable, Frameless, DisplayPort, HDMI, Tilt	B096PNMSQZ	X0039JU75N	UPC: 195553047753	New	No prep required	"--"	Merchant	16
DYSON-VAC-V11-298706-01	Dyson V11 Outsize Cordless Vacuum Cleaner, Nickel/Red	B084B9NX7Q	X003AUNNMP	UPC: 885609019291	New	No prep required	"--"	Merchant	13
DYSON-VAC-V15-368340-01	Dyson v15 detect Vacuum, Multicolor	B0979R48CX	X003AN7Y27	UPC: 885609023106	New	No prep required	"--"	Merchant	59
FILTRETE-FILTER-EA23-2PK-1E	Filtrete 14x24x1, AC Furnace Air Filter, MPR 2200, Healthy Living Elite Allergen, 2-Pack (exact dimensions 14.375 x 23.84 x 0.783)	B07CSVRD69	X003AWBDON	UPC: 638060188040	New	No prep required	"--"	Merchant	26
SHARK-VAC-NV356E-S2-NLP-WHT/SLV	Shark NV356E S2 Navigator Lift-Away Professional Upright Vacuum with Pet Power Brush and Crevice Tool, White/Silver	B005KMDV9A	X00393LRMB	UPC: 622356531191	New	No prep required	"--"	Merchant	16
VIZIO-SOUNDBAR-M512A-H6	VIZIO M-Series 5.1.2 Premium Sound Bar with Dolby Atmos, DTS:X, Bluetooth, Wireless Subwoofer, Voice Assistant Compatible, Includes Remote Control - M512a-H6	B08TV6GJF7	X003AIA81L	UPC: 845226018718	New	No prep required	"--"	Merchant	27
