Shipment-Data,Shipment-ID,FC-State,Date,Cost,MSKU,ASIN,Qty
 ,FBA16NB1DV0T,CMH2,, ,ACER-MON-NITRO-ED271U-XBMIIPX,B09MZPTVN3,3
 ,FBA16NB1DV0T,CMH2,, ,ACER-MON-T232HL-ABMJJZ,B00I2P6TEG,13
 ,FBA16NTKSTH8,OAK3,04-18-2022, ,ACER-ASPIRE-TC-I510400-FC0A0-2,B0983VYC6V,6
 ,FBA16NTKSTH8,OAK3,04-18-2022, ,LG-MON-27GP750-B,B09D914618,1
 ,FBA16NN6M018,CMH2,, ,SAMSUNG-MON-S65UA-LS34A650UXNXGO,B08V71HXY3,9
 ,FBA16NN6M018,CMH2,, ,SAMSUNG-SOUNDBAR-HW-Q800AZA-LNO,B08WZ63179,5
 ,FBA16RC60WLM,TPA2,06-13-2022, ,ASUS-MON-ROG-SWIFT-PG259QN-LNO,B08GL5TJQT,1
 ,FBA16QVRSBKQ,RNO4,06-01-2022, ,LG-GRAM-16-I71165G7-16G512G-WH-SL,B09S3347W1,2
 ,FBA16LZFL4DM,SAT1,03-02-2022, ,LG-GRAM-15-I51135G7-BC0-WH-32G,B09CKVSM3H,3
 ,FBA16LZFL4DM,SAT1,03-02-2022, ,LG-GRAM-17-I71165G7-16G512G-WH,B09CT9QRFD,4
 ,FBA16LZFL4DM,SAT1,03-02-2022, ,LG-GRAM-17-I71195G7-16G512G-WH,B09S3FP4VR,7
 ,FBA16LZFL4DM,SAT1,03-02-2022, ,MSI-GF65-15-I510500H-CD0-3060-WH-CLT,B09KMD8FMK,1
 ,FBA16L7BBMN0,BNA2,02-11-2022, ,LG-GRAM-17-I71165G7-16G512G-WH,B09CT9QRFD,6
 ,FBA16L7BBMN0,BNA2,02-11-2022, ,LG-GRAM-17-I71195G7-16G512G-WH,B09S3FP4VR,2
 ,FBA16LGCCVC3,BWI4,02-17-2022, ,LG-GRAM-15-I51135G7-BC0-WH-32G,B09CKVSM3H,1
 ,FBA16LGCCVC3,BWI4,02-17-2022, ,LG-GRAM-16-I71165G7-16G512G-WH-SL,B09S3347W1,2
 ,FBA16LGCCVC3,BWI4,02-17-2022, ,LG-GRAM-16-I71165G7-BC0-WH-SL,B09KQYXC78,1
 ,FBA16LGCCVC3,BWI4,02-17-2022, ,LG-GRAM-16-I71165G7-BC0-WH-SL-2,B09KQZKBY3,1
 ,FBA16R353ZXQ,ILG1,06-06-2022, ,LG-GRAM-15-I51135G7-16G512G-WH-LNO,B09L8JYBL1,1
 ,FBA16R353ZXQ,ILG1,06-06-2022, ,LG-GRAM-16-I71165G7-16G512G-WH-SL-LNO,B09S3347W1,1
 ,FBA16R353ZXQ,ILG1,06-06-2022, ,NINJA-PROCESSOR-BN601-PRO-PLUS-SLV,B089TP3K77,3
 ,FBA16LZH4TR9,ABE4,03-02-2022, ,LG-GRAM-15-I51135G7-BC0-WH-32G,B09CKVSM3H,1
 ,FBA16LZH4TR9,ABE4,03-02-2022, ,LG-GRAM-17-I71165G7-16G512G-WH,B09CT9QRFD,3
 ,FBA16LZH4TR9,ABE4,03-02-2022, ,LG-GRAM-17-I71195G7-16G512G-WH,B09S3FP4VR,6
 ,FBA16LZH4TR9,ABE4,03-02-2022, ,MSI-GF65-15-I510500H-CD0-3060-WH-CLT,B09KMD8FMK,1
 ,FBA16M1NDW96,MEM6,03-04-2022, ,LG-GRAM-15-I51135G7-BC0-WH-32G,B09CKVSM3H,2
 ,FBA16M1NDW96,MEM6,03-04-2022, ,LG-GRAM-16-I71165G7-16G512G-WH-SL,B09S3347W1,6
 ,FBA16LMJSFSZ,LIT2,02-21-2022, ,LG-GRAM-17-I71195G7-16G512G-WH,B09S3FP4VR,6
 ,FBA16NXDDZZQ,DET1,04-20-2022, ,HP-VICTUS-16-I511400H-CD0AC-3050,B09NZWSVP6,1
 ,FBA16NXDDZZQ,DET1,04-20-2022, ,LG-GRAM-16-I71165G7-16G512G-WH-SL,B09S3347W1,1
 ,FBA16NXDDZZQ,DET1,04-20-2022, ,LG-GRAM-16-I71165G7-BC0-WH-SL-2,B09KQZKBY3,1
 ,FBA16RZF04W7,PHX5,07-05-2022, ,ASUS-MON-EYECARE-VP32UQ,B096PNMSQZ,16
 ,FBA16RZF04W7,PHX5,07-05-2022, ,DYSON-VAC-V11-298706-01,B084B9NX7Q,13
 ,FBA16RZF04W7,PHX5,07-05-2022, ,DYSON-VAC-V15-368340-01,B0979R48CX,59
 ,FBA16RZF04W7,PHX5,07-05-2022, ,FILTRETE-FILTER-EA23-2PK-1E,B07CSVRD69,26
 ,FBA16RZF04W7,PHX5,07-05-2022, ,SHARK-VAC-NV356E-S2-NLP-WHT/SLV,B005KMDV9A,16
 ,FBA16RZF04W7,PHX5,07-05-2022, ,VIZIO-SOUNDBAR-M512A-H6,B08TV6GJF7,27
 ,FBA16QHJF3JY,MEM6,05-26-2022, ,ASUS-MON-EYECARE-VP32UQ,B096PNMSQZ,24
 ,FBA16NCRMLLT,GSP1,, ,ACER-MON-K242HYL-HBI,B08R6BBGMS,56
 ,FBA16RM77SM5,TPA2,06-21-2022, ,ASUS-MON-EYECARE-VP32UQ,B096PNMSQZ,24
 ,FBA16NXJL84N,PHL6,04-20-2022, ,HP-VICTUS-16-I511400H-CD0AC-3050,B09NZWSVP6,1
 ,FBA16NXJL84N,PHL6,04-20-2022, ,LG-GRAM-16-I71165G7-16G512G-WH-SL,B09S3347W1,3
 ,FBA16NXJL84N,PHL6,04-20-2022, ,LG-GRAM-16-I71165G7-BC0-WH-SL-2,B09KQZKBY3,1
 ,FBA16NTNQH5W,GSO1,04-18-2022, ,ACER-ASPIRE-TC-I510400-FC0A0-2,B0983VYC6V,11
 ,FBA16NTNQH5W,GSO1,04-18-2022, ,LG-GRAM-15-I51135G7-BC0-WP-32G,B09F4T68FZ,4
 ,FBA16NTNQH5W,GSO1,04-18-2022, ,LG-MON-27GP750-B,B09D914618,2
 ,FBA16MXGNRK3,PIT2,03-24-2022, ,LG-GRAM-15-I51135G7-16G512G-WH-LNO,B09L8JYBL1,1
 ,FBA16MXGNRK3,PIT2,03-24-2022, ,LG-GRAM-16-I71165G7-16G512G-WH-SL,B09S3347W1,7
 ,FBA16R77WFJP,FAT2,06-09-2022, ,AMD-CPU-RYZEN-9-3900X-100-100000023BOX,B07SXMZLP9,1
 ,FBA16R77WFJP,FAT2,06-09-2022, ,LG-GRAM-15-I51135G7-BC0-WH-32G,B09CKVSM3H,1
 ,FBA16R77WFJP,FAT2,06-09-2022, ,LG-GRAM-17-I71165G7-16G512G-WH,B09CT9QRFD,1
 ,FBA16R77WFJP,FAT2,06-09-2022, ,LG-GRAM-17-I71195G7-16G512G-WH,B09S3FP4VR,1
 ,FBA16QHTV0CH,OAK3,05-26-2022, ,ASUS-MON-EYECARE-VP32UQ,B096PNMSQZ,24
 ,FBA16QHTTC0J,MDT1,05-26-2022, ,ASUS-MON-EYECARE-VP32UQ,B096PNMSQZ,24
 ,FBA16M1KDZHN,FOE1,03-04-2022, ,LG-GRAM-15-I51135G7-BC0-WH-32G,B09CKVSM3H,2
 ,FBA16M1KDZHN,FOE1,03-04-2022, ,LG-GRAM-16-I71165G7-16G512G-WH-SL,B09S3347W1,6
 ,FBA16QSG1B7J,OKC2,05-31-2022, ,ASUS-MON-VP349CGL,B09G94PTZR,17
 ,FBA16LSJ63C6,ACY2,02-25-2022, ,ASUS-MON-ROG-SWIFT-PG259QN,B08GL5TJQT,1
 ,FBA16LSJ63C6,ACY2,02-25-2022, ,DELL-INS-15-I51035G1-BC0-WP,B0928N6TH3,1
 ,FBA16LSJ63C6,ACY2,02-25-2022, ,LG-GRAM-17-I71195G7-16G512G-WH,B09S3FP4VR,10
