Shipment ID	FBA16SCV1BG8
Name	FBA STA (07/19/2022 17:06)-ORD2
Plan ID	
Ship To	ORD2
Total SKUs	5
Total Units	192

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
DYSON-VAC-V11-298706-01	Dyson V11 Outsize Cordless Vacuum Cleaner, Nickel/Red	B084B9NX7Q	X003AUNNMP	UPC: 885609019291	New	No prep required	"--"	Merchant	30
NINJA-COFFEE-CFP301-DBP-BLK	Ninja CFP301 DualBrew Pro System 12-Cup Coffee Maker, Single-Serve for Grounds & K-Cup Pod Compatible, 4 Brew Styles, Frother, 60-oz. Water Reservoir with Separate Hot Water Dispenser & Carafe, Black	B08QZSN97Z	X0038WOQ5N	UPC: 622356569705	New	No prep required	"--"	Merchant	28
NINJA-FRY-AF101-BLK/GRY	Ninja AF101 Air Fryer that Crisps, Roasts, Reheats, & Dehydrates, for Quick, Easy Meals, 4 Quart Capacity, & High Gloss Finish, Black/Grey	B07FDJMC9Q	X003BA5Y1R	UPC: 622356554572	New	No prep required	"--"	Merchant	30
SHARK-VAC-SV1106-NAV-FUBCS-WHT/SLV	Shark SV1106 Navigator Freestyle Upright Bagless Cordless Stick Vacuum for Carpet, Hard Floor and Pet with XL Dust Cup and 2-Speed Brushroll, White/Grey	B00C351GBC	X00393PAKB	UPC: 622356533096	New	No prep required	"--"	Merchant	95
SHARK-VAC-WS632-GRY	Shark WS632 WANDVAC System Ultra-Lightweight Powerful Cordless Stick Vacuum with Boost Mode, Charging Dock, Slate Grey	B08TH23LNQ	X003AWHY4V	UPC: 622356564694	New	No prep required	"--"	Merchant	9
