Shipment ID	FBA16S7WYMYY
Name	FBA STA (07/14/2022 18:51)-GYR2
Plan ID	
Ship To	GYR2
Total SKUs	6
Total Units	186

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
HOTTOOLS-FLATIRON-PRO-SIGN-CERA-1IN	Hot Tools Pro Signature Ceramic + Tourmaline Flat Iron for Sleek Results, 1 Inch Plates	B091JZYD6T	X003B5DWS9	UPC: 078729125885	New	No prep required	"--"	Merchant	60
MSI-HDSET-IMMERSE-GH30-V2	MSI Gaming Detachable Microphone Lightweight and Foldable Headband Design Gaming Headphone (Immerse GH30 V2)	B0892G65H7	X002SWYNLB	EAN: 0824142212882	New	No prep required	"--"	Merchant	50
PNY-SSD-SSD7CS900-120-RB	PNY CS900 120GB 3D NAND 2.5" SATA III Internal Solid State Drive (SSD) - (SSD7CS900-120-RB)	B0722XPTL6	X003A41YN1	UPC: 751492597843	New	No prep required	"--"	Merchant	20
WD-HDD-BLUE-WD40EZRZ-4TB	Western Digital 4TB WD Blue PC Hard Drive HDD - 5400 RPM, SATA 6 Gb/s, 64 MB Cache, 3.5" - WD40EZRZ	B013HNYV8I	X0035QVL0F	UPC: 718037840161	New	Merchant	Bubble Wrap	Merchant	31
WD-HDD-RED-PLUS-WD101EFAX-10TB	Western Digital 10TB WD Red Plus NAS Internal Hard Drive HDD - 5400 RPM, SATA 6 Gb/s, CMR, 256 MB Cache, 3.5" - WD101EFAX	B083JXTH5L	X0036F5E4T	UPC: 718037866758	New	No prep required	"--"	Merchant	15
WD-HDD-RED-WD40EFAX-4TB-2	Western Digital WD40EFRX WD Red NAS Hard Drive - Hard drive - 4 TB - internal - 3.5 inch - SATA 6Gb/s - buffer: 64 MB - for WD My Cloud EX2, EX4	B01IF6879G	X0038Q9G0J	UPC: 718037810058	New	No prep required	"--"	Merchant	10
