Shipment ID	FBA16SG79YD9
Name	FBA STA (07/21/2022 20:09)-GYR2
Plan ID	
Ship To	GYR2
Total SKUs	7
Total Units	436

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
AMD-CPU-RYZEN-5-3600XT	AMD Ryzen 5 3600XT 6-core, 12-threads unlocked desktop processor with Wraith Spire cooler	B089WC4VWF	X0034X5YGL	UPC: 793519990527	New	No prep required	"--"	Merchant	1
HYPERICE-HYPERSPHERE-32000-001-00-BLK	Hyperice Hypersphere Vibrating Massage Therapy Ball Black Matte, One Size	B076575B6K	X003B0H4YH	UPC: 852152004715	New	No prep required	"--"	Merchant	1
INTEL-CPU-I77700-BX80677I77700	Intel Core i7-7700 Desktop Processor 4 Cores up to 4.2 GHz LGA 1151 100/200 Series 65W	B01N0L41N7	X003A98CG3	UPC: 735858325899	New	No prep required	"--"	Merchant	10
LIQUIDIV-SUPP-POWDER-16-STRAWBERRY-1PK	Liquid I.V. Hydration Multiplier - Strawberry - Hydration Powder Packets | Electrolyte Drink Mix | Easy Open Single-Serving Stick | Non-GMO | 16 Sticks	B08MVDTLKC	X003ARQRX5	UPC: 851741008844	New	No prep required	"--"	Merchant	390
SAMSUNG-SSD-980-PRO-2TB-MZ-V8P2T0BAM	SAMSUNG 980 PRO SSD 2TB PCIe NVMe Gen 4 Gaming M.2 Internal Solid State Hard Drive Memory Card, Maximum Speed, Thermal Control, MZ-V8P2T0B	B08RK2SR23	X003BD68MD	UPC: 887276456430	New	No prep required	"--"	Merchant	8
SAMSUNG-WATCH-SM-R370NZKAXAR-BLK	SAMSUNG Galaxy Fit Black (Bluetooth), SM-R370NZKAXAR – US Version with Warranty	B07RB2NWDN	X003BNV247	UPC: 887276318332	New	No prep required	"--"	Merchant	1
SNDCORE-EBUDS-LIBERTY3PRO-A3952011	Soundcore by Anker Liberty 3 Pro Noise Cancelling Earbuds, True Wireless Earbuds with ACAA 2.0, HearID ANC, Fusion Comfort, Hi-Res Audio Wireless, 6 Mics for Calls, 32H Playtime	B09CGM1BWH	X003B8Q9C7	UPC: 194644080341	New	No prep required	"--"	Merchant	25
