Shipment ID	FBA16S4VZ7PD
Name	FBA STA (07/11/2022 22:10)
Plan ID	
Ship To	GYR2
Total SKUs	5
Total Units	3539

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
LIQUIDIV-ENRGY-POWDER-16-LEMONGING-3PK	Liquid I.V. Energy Multiplier | Energy Powder Drink Sticks | Matcha and Green Energy Blend Drink Mix | Natural Caffeine | Easy Open Single-Serving Stick | Non-GMO | Lemon Ginger | 42 Sticks	B0854NDHGH	X003AWN4L3	--	New	No prep required	"--"	Merchant	480
LIQUIDIV-SUPP-POWDER-16-ACAIBERRY-1PK	Liquid I.V. Hydration Multiplier - Acai Berry - Hydration Powder Packets | Electrolyte Drink Mix | Easy Open Single-Serving Stick | Non-GMO | 16 Sticks	B078XMP8KJ	X003B0E2SX	UPC: 851741008004	New	No prep required	"--"	Merchant	2520
LIQUIDIV-SUPP-POWDER-16-ACAIBERRY-1PK-2	Liquid IV, Hydration Multiplier Acai Berry 16 Count, 256 Gram	B07SFBT2GQ	X003B3GSA5	UPC: 851741008004	New	No prep required	"--"	Merchant	140
LIQUIDIV-SUPP-POWDER-16-ACAIBERRY-3PK	Liquid I.V. Hydration Multiplier - Acai Berry - Hydration Powder Packets | Electrolyte Drink Mix | Easy Open Single-Serving Stick | Non-GMO | 48 Sticks	B079P4SKML	X003B469ZD	GTIN: 10851741008001	New	No prep required	"--"	Merchant	384
LIQUIDIV-SUPP-POWDER-16-ACAIBERRY-6PK	Liquid I.V. Hydration Multiplier - Acai Berry - Hydration Powder Packets | Electrolyte Drink Mix | Easy Open Single-Serving Stick | Non-GMO | 96 Sticks	B07F1GRW8R	X003B3GRRT	GTIN: 10863323000365	New	No prep required	"--"	Merchant	15
